Product Title,SKU,Product Types,Product Categories,Edge Types,Capacity,Lid,Additonal,Top Out A,Top Out B,Top In A,Top In B,Base A,Base B,Depth,Weight,Samples Available,Featured Image URL,Image Name
Rectangular,S-221168-76,Smoothwall,Rectangular,Reversed Rolled Edge,1857,,"""Premium,BBQ""",221,168,199,146,178,125,76,,,,
Rectangular,S-234138-50,Smoothwall,Rectangular,Reversed Rolled Edge,1150,,"""Premium,BBQ""",234,138,218,122,202,106,50,,,,
Rectangular,S-234138-43,Smoothwall,Rectangular,Reversed Rolled Edge,1000,,"""Premium,BBQ""",234,138,218,122,206,110,43,,,,
Rectangular,S-234138-30,Smoothwall,Rectangular,Reversed Rolled Edge,725,,"""Premium,BBQ""",234,138,218,122,210,114,30,,,,
Rectangular,S-234138-43,Smoothwall,Rectangular,Reversed Rolled Edge,1000,,"""Premium,BBQ""",234,138,218,121,204,107,43,,,,
Rectangular,S-236185-46,Smoothwall,Rectangular,Reversed Rolled Edge,1485,,"""Premium,BBQ""",236,185,218,167,202,151,46,,,,
Rectangular,S-237182-35,Smoothwall,Rectangular,Reversed Rolled Edge,1165,,"""Premium,BBQ""",237,182,220,165,210,155,35,,,,
Rectangular,S-239167-37,Smoothwall,Rectangular,Reversed Rolled Edge,1120,,"""Premium,BBQ""",239,167,220,148,210,138,37,,,,
Rectangular,S-239167-50,Smoothwall,Rectangular,Reversed Rolled Edge,1467,,"""Premium,BBQ""",239,167,220,148,207,135,50,,,,
Rectangular,S-244149-58,Smoothwall,Rectangular,Reversed Rolled Edge,1486,,"""Premium,BBQ""",244,149,224,132,210,118,58,,,,
Rectangular,S-247197-45,Smoothwall,Rectangular,Reversed Rolled Edge,1525,,"""Premium,BBQ""",247,197,228,177,216,166,45,,,,
Rectangular,S-260177-37,Smoothwall,Rectangular,Reversed Rolled Edge,1350,,"""Premium,BBQ""",260,177,243,160,233,150,37,,,,
Square,S-260260-50,Smoothwall,Square,Reversed Rolled Edge,2610,,"""Premium,BBQ""",260,260,241,241,225,225,50,,,,
Rectangular,S-260177-50,Smoothwall,Rectangular,Reversed Rolled Edge,1770,,"""Premium,BBQ""",260,177,242,159,229,147,50,,,,
Rectangular,S-260177-50,Smoothwall,Rectangular,Reversed Rolled Edge,1771,,"""Premium,BBQ""",260,177,243,160,230,147,50,,,,
Rectangular,S-265162-47,Smoothwall,Rectangular,Reversed Rolled Edge,1450,,"""Premium,BBQ""",265,162,247,144,234,131,47,,,,
Rectangular,S-265162-37,Smoothwall,Rectangular,Reversed Rolled Edge,1200,,"""Premium,BBQ""",265,162,247,144,236,133,37,,,,
Rectangular,S-265162-47,Smoothwall,Rectangular,Reversed Rolled Edge,1500,,"""Premium,BBQ""",265,162,247,144,233,130,47,,,,
Rectangular,S-265162-58,Smoothwall,Rectangular,Reversed Rolled Edge,1800,,"""Premium,BBQ""",265,162,247,144,225,121,58,,,,
Rectangular,S-265162-75,Smoothwall,Rectangular,Reversed Rolled Edge,2300,,"""Premium,BBQ""",265,162,247,144,225,122,75,,,,
Rectangular,S-265165-75,Smoothwall,Rectangular,Reversed Rolled Edge,2240,,"""Premium,BBQ""",265,165,247,147,224,124,75,,,,
