sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
ds400,400.0,60.0,,,144.0,130.0,83.0,83.0,83.0,83.0,,DeLight
1380spl,390.0,28.0,,,171.0,103.0,160.0,92.0,143.0,72.0,Reversed Rolled Edge,Rectangular
2647pl,325.0,37.0,No matching lid.,,163.0,123.0,147.0,108.0,113.0,74.0,Rolled Edge,Ovals
2038pl,323.0,16.0,No matching lid.,,198.0,198.0,174.0,174.0,145.0,145.0,Rolled Edge,Plates
2215pl,320.0,22.0,No matching lid.,,151.0,151.0,140.0,140.0,132.0,132.0,Rolled Edge,Flans Non-Fluted
611ppl,315.0,21.0,No matching lid.,,164.0,164.0,154.0,154.0,134.0,134.0,Rolled Edge,Plates
2511pl,203.0,30.0,No matching lid.,,124.0,124.0,103.0,103.0,83.0,83.0,Rolled Edge,Rounds
612ppl,203.0,16.0,No matching lid.,,178.0,178.0,165.0,165.0,135.0,135.0,Rolled Edge,Plates
605ppl,200.0,14.0,No matching lid.,,169.0,169.0,144.0,144.0,122.0,122.0,Rolled Edge,Plates
101fpl,200.0,31.0,No matching lid.,,100.0,100.0,94.0,94.0,84.0,84.0,Rolled Edge,Flans Non-Fluted
1815pl,155.0,19.0,No matching lid.,,132.0,132.0,114.0,114.0,67.0,67.0,Rolled Edge,Saucers
2428pl,154.0,35.0,No matching lid.,,94.0,94.0,80.0,80.0,69.0,69.0,Rolled Edge,Rounds
505rpl,114.0,20.0,No matching lid.,,111.0,111.0,95.0,95.0,62.0,62.0,Rolled Edge,Rounds
3207pl,112.0,23.0,No matching lid.,,105.0,84.0,91.0,73.0,74.0,56.0,Rolled Edge,Rectangular
706-opl,110.0,24.0,No matching lid.,,123.0,91.0,109.0,74.0,74.0,48.0,Rolled Edge,Oblong
917cpl,107.0,37.0,No matching lid.,,89.0,89.0,78.0,78.0,37.0,37.0,Rolled Edge,Custards
2206pl,60.0,18.0,No matching lid.,,79.0,79.0,70.0,70.0,64.0,64.0,Rolled Edge,Flans Non-Fluted
909cpl,45.0,16.0,No matching lid.,,79.0,79.0,71.0,71.0,44.0,44.0,Rolled Edge,Custards
f6321pl,43.0,21.0,No matching lid.,,69.0,69.0,63.0,63.0,39.0,39.0,Rolled Edge,Custards
35cm-lazy-susan,0.0,18.0,No matching lid.,,339.0,339.0,312.0,312.0,280.0,280.0,Rolled Edge,Platters
55cm-oval,0.0,25.0,No matching lid.,,546.0,348.0,523.0,335.0,420.0,240.0,Rolled Edge,Platters
30cm-round,0.0,18.0,No matching lid.,,310.0,310.0,282.0,282.0,256.0,256.0,Rolled Edge,Platters
50cm-regal,0.0,28.0,No matching lid.,,493.0,349.0,468.0,317.0,394.0,245.0,Rolled Edge,Platters
